Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Boundary Technologies Ltd,https://www.crunchbase.com/organization/boundary-technologies-ltd,"Cyber Security, Internet, Security","Edinburgh, Edinburgh, City of, United Kingdom",European Union (EU),2018-04-10,day,,,2018-05-01,560000,GBP,762100,Seed,560000,GBP,762100,Seed,"Paul Walton, Robin Knox",2
@RISK Technologies,https://www.crunchbase.com/organization/risk-technologies,"Artificial Intelligence, Big Data, Cyber Security, Finance, Machine Learning, SaaS","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2017-04-01,day,,,2017-10-05,4300000,USD,4300000,Angel,4300000,USD,4300000,Seed,Darin Brannan,1
CSI,https://www.crunchbase.com/organization/csi-3,"Cloud Management, Cyber Security, Enterprise Software, Information Technology","Glasgow, Glasgow City, United Kingdom",European Union (EU),1983-01-01,year,2012-10-15,day,2017-08-11,36000000,GBP,46842490,Venture - Series Unknown,36000000,GBP,46842490,M&A,"Blackhawk Capital, MML Capital Partners",2
CYFIRMA,https://www.crunchbase.com/organization/cyfirma,"Artificial Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Security","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2017-12-19,day,,,2018-05-30,15000000,USD,15000000,Series A,15000000,USD,15000000,Early Stage Venture,Goldman Sachs,1
Sedicii,https://www.crunchbase.com/organization/sedicii,"Compliance, Cyber Security, FinTech, Fraud Detection, Identity Management, Security","Waterford, Waterford, Ireland",European Union (EU),2013-01-01,year,,,2017-09-06,1050000,EUR,1252271,Seed,1050000,EUR,1252271,Seed,"EASME - EU Executive Agency for SMEs, Enterprise Ireland, Oxygen Accelerator",3
Tortuga logic,https://www.crunchbase.com/organization/tortuga-logic-inc,"Cyber Security, Information Technology, Security, Semiconductor","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2017-11-16,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Eclipse Ventures, EvoNexus, National Science Foundation, Phystech Ventures",4
Modifi,https://www.crunchbase.com/organization/modifi,"Industrial Automation, Internet of Things, Mobile, Security","Bainbridge Island, Washington, United States","Greater Seattle Area, West Coast, Western US",2014-01-01,year,,,2017-09-06,1000000,USD,1000000,Venture - Series Unknown,1000000,USD,1000000,,,
Parrable,https://www.crunchbase.com/organization/parrable,"Big Data, Identity Management, Mobile, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-09-01,day,,,2017-11-01,,,,Series A,,,,Early Stage Venture,"Angel Ventures, Band of Angels, Moneta Ventures, Portfolia, Silicon Valley Growth Syndicate",8
Doky Inc,https://www.crunchbase.com/organization/doky-inc,"Cloud Computing, Cloud Security, Digital Marketing, Digital Media, Email, Network Security, SaaS, Security, Virtualization","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-06-01,day,,,2017-09-01,500000,USD,500000,Debt Financing,,,,Seed,"Francesco Tripepi, Fyrfly Venture Partners, Scott Booth, Silicon Valley Bank",4
imVision Technologies,https://www.crunchbase.com/organization/imvision-technologies,"Cyber Security, Information Technology, Security, Telecommunications, Video","Ramat Gan, Tel Aviv, Israel",,2014-01-01,year,,,2017-07-04,,,,Convertible Note,4000000,USD,4000000,Early Stage Venture,"CE Ventures (CEIIF), iVentures Asia Ltd, Pitango Venture Capital",3
ShieldSquare,https://www.crunchbase.com/organization/shieldsquare,"Analytics, Cyber Security, Information Technology, Internet, SaaS, Software","Bangalore, Karnataka, India",Asia-Pacific (APAC),2013-01-01,year,2019-01-07,day,2017-10-26,,,,Series A,,,,M&A,"Anthill Ventures, Endiya Partners, Girish Mathrubootham, StartupXseed Ventures, Venture Highway",13
BrandShield,https://www.crunchbase.com/organization/brandshield,"Artificial Intelligence, Business Intelligence, Cyber Security, Intellectual Property, Internet, Machine Learning, Natural Language Processing, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2017-10-01,,,,Venture - Series Unknown,,,,,"AfterDox, iAngels, Yaron Lemelbaum",3
Redwood Technologies Group,https://www.crunchbase.com/organization/redwood-technologies-group,"Communications Infrastructure, Financial Services, Government, Mobile, Network Security, Payments, Telecommunications","Berkshire, New York, United States","East Coast, Northeastern US",1993-01-01,year,,,2018-01-16,25000000,GBP,34493939,Venture - Series Unknown,25000000,GBP,34493939,,Scottish Equity Partners,1
IronCore Labs,https://www.crunchbase.com/organization/ironcore-labs,"SaaS, Security, Software","Boulder, Colorado, United States","Greater Denver Area, Western US",2015-03-09,day,,,2018-06-28,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,"FirstMile Ventures, NEXT Frontier Capital, Right Side Capital Management, Techstars, v1.vc",7
SIGA OT Solutions,https://www.crunchbase.com/organization/siga,"Cyber Security, Industrial Manufacturing, Infrastructure, Machine Learning","Be'er Sheva, HaDarom, Israel",,2014-01-01,year,,,2017-09-07,3500000,USD,3500000,Venture - Series Unknown,3500000,USD,3500000,,Awz Ventures,1
NewBanking ApS,https://www.crunchbase.com/organization/newbanking,"Blockchain, Financial Services, FinTech, Identity Management","Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",2015-10-01,day,,,2018-03-26,20000,USD,20000,Seed,20000,USD,20000,Seed,"Innovation Fund Denmark, Kcbl Management ApS, PreSeed Ventures, Queen City Fintech, Seed Capital",5
SysCloud,https://www.crunchbase.com/organization/neverfail-backup-software,"Cyber Security, Software","Red Bank, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2018-06-27,200000,USD,200000,Debt Financing,2500000,USD,2500000,Early Stage Venture,"Inventus Capital Partners, Kae Capital, Lighter Capital, Microsoft Accelerator Bangalore",4
Zighra,https://www.crunchbase.com/organization/zighra,"Artificial Intelligence, Biometrics, Enterprise Software, Identity Management, Machine Learning, Mobile","Ottawa, Ontario, Canada",Great Lakes,2016-01-01,year,,,2017-09-01,,,,Seed,,,,Seed,"Barclays Accelerator, powered by Techstars - London, MaRS Investment Accelerator Fund, SixThirty CYBER, Techstars",4
Tanker,https://www.crunchbase.com/organization/tanker,"Cloud Security, Developer Platform, Identity Management, PaaS, Privacy","Paris, Ile-de-France, France",European Union (EU),2015-01-01,year,,,2017-09-15,6000000,EUR,7167003,Venture - Series Unknown,6000000,EUR,7167003,,"AXA Venture Partners, EIT Digital Accelerator, Idinvest Partners, Kima Ventures, Wilco",7
Nekso,https://www.crunchbase.com/organization/nekso,"Apps, Internet, Security, Transportation","Toronto, Ontario, Canada",Great Lakes,2015-12-15,day,,,2017-09-14,,,,Venture - Series Unknown,,,,,Extreme Venture Partners,1
Rivetz,https://www.crunchbase.com/organization/rivetz-inc,"Hardware, Internet, Security","Richmond, Massachusetts, United States","East Coast, New England, Northeastern US",2013-01-01,year,,,2017-12-06,1586624,USD,1586624,Venture - Series Unknown,1586624,USD,1586624,,,
Shoonya,https://www.crunchbase.com/organization/shoonya,"Computer, Information Technology, Internet, Security, Software","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-12-01,month,,,2018-06-06,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Andrew Lee, Haystack, Pathbreaker Ventures, Root Ventures, Ubiquity Ventures",5
Arival Bank,https://www.crunchbase.com/organization/arival-bank,"Banking, Compliance, FinTech, Identity Management","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-08-03,day,,,2018-01-15,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
GATE,https://www.crunchbase.com/organization/tokenid,"Credit Cards, Cyber Security, Financial Services, FinTech, Mobile Payments, Payments","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-10-01,month,,,2018-04-05,3200000,USD,3200000,Seed,3200000,USD,3200000,Seed,"Alex Jurovitsky, Jacob Shochat, Orco Investments",3
ChameleonX,https://www.crunchbase.com/organization/chameleonx,"Network Security, Security","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2018-04-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,"Firstime Venture Capital, TheTime",2
Chainvine,https://www.crunchbase.com/organization/chainvine,"Asset Management, Compliance, Cyber Security, Database, Enterprise Software, Intelligent Systems, Software, Supply Chain Management","London, England, United Kingdom",European Union (EU),2015-06-01,day,,,2018-06-04,2500000,GBP,3328996,Series A,2500000,GBP,3328996,Early Stage Venture,Deepbridge Capital,1
Storage Made Easy,https://www.crunchbase.com/organization/storage-made-easy,"Cloud Computing, Cloud Security, Compliance, Enterprise Software, File Sharing, Media and Entertainment","Sutton, Surrey, United Kingdom",European Union (EU),2009-11-17,day,,,2018-04-04,3000000,GBP,4226352,Series A,3000000,GBP,4226352,Early Stage Venture,,
Blackpoint Holdings,https://www.crunchbase.com/organization/blackpoint-holdings,"Computer, Cyber Security","Ellicott City, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2018-05-29,6000000,USD,6000000,Venture - Series Unknown,6000000,USD,6000000,,"Adelphi Capital, Maryland Venture Fund, Telcom Ventures",3
IronNet Cybersecurity,https://www.crunchbase.com/organization/ironnet-cybersecurity,"Computer, Cyber Security, Network Security","Fulton, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2018-05-03,78000000,USD,78000000,Series B,78000000,USD,78000000,Early Stage Venture,"C5 Capital, ForgePoint Capital, Kleiner Perkins",3
BoxLock,https://www.crunchbase.com/organization/boxlock-inc,"Hardware, Logistics, Security, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2017-07-03,day,,,2018-04-06,750000,USD,750000,Seed,750000,USD,750000,Seed,,
OtoSense,https://www.crunchbase.com/organization/otosense,"Artificial Intelligence, Automotive, Industrial Automation, Machine Learning, Machinery Manufacturing, Predictive Analytics, Security, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,2018-05-04,day,2017-10-02,,,,Convertible Note,,,,M&A,"Airbus Ventures, GoBeyond, Keiretsu Capital, Pentalabbs, Portfolia",5
Kraydel,https://www.crunchbase.com/organization/kraydel,"Android, Elder Care, Hardware, Information Technology, Machine Learning, Security, Software","Belfast, Belfast, United Kingdom",European Union (EU),2016-01-01,year,,,2018-01-16,1200000,GBP,1655709,Seed,1200000,GBP,1655709,Seed,"Clarendon Fund Managers, Hambro Perks Ltd., Pitch@Palace, Public, techstart",5
AtYourGate,https://www.crunchbase.com/organization/yourgate,"Delivery, Security, Travel","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2014-01-01,year,,,2018-04-02,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,TRITON FUNDS LLC,1
NETSHIELD,https://www.crunchbase.com/organization/snoopwall,"B2B, Internet of Things, Mobile Apps, Network Security, Security","Nashua, New Hampshire, United States","East Coast, New England, Northeastern US",2013-01-01,year,,,2017-11-08,275000,USD,275000,Debt Financing,462972,USD,462972,,Sand Hill East,1
Cog,https://www.crunchbase.com/organization/cog,"Cyber Security, Enterprise, Enterprise Software, Internet of Things, Mobile, Mobile Devices, National Security, Security, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2014-01-01,year,,,2017-12-12,3500000,USD,3500000,Series A,3500000,USD,3500000,Early Stage Venture,"Grok Ventures, Rampersand",2
CyGlass,https://www.crunchbase.com/organization/cyglass,"Computer, Network Security","Littleton, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-01-01,year,,,2018-04-21,4983214,USD,4983214,Venture - Series Unknown,4983214,USD,4983214,,,
Pixm,https://www.crunchbase.com/organization/pixm,"Computer, Cyber Security, Network Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,,2017-09-01,750000,USD,750000,Seed,750000,USD,750000,Seed,"Chaac Ventures, MassChallenge",2
Purism,https://www.crunchbase.com/organization/purism,"Cyber Security, Hardware, Linux, Mobile Devices, Open Source, Operating Systems, Privacy, Software","South San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-11-01,day,,,2017-10-10,1586663,USD,1586663,Product Crowdfunding,850000,USD,850000,Seed,,
burstIQ,https://www.crunchbase.com/organization/burstiq,"Big Data, Blockchain, Cyber Security, Health Care, Software","Denver, Colorado, United States","Greater Denver Area, Western US",2015-04-01,month,,,2018-02-08,,,,Corporate Round,,,,,"500 Startups, FirstMile Ventures",2
ATAR Labs,https://www.crunchbase.com/organization/atar-labs,"Cyber Security, Information Services, Information Technology, Security","London, England, United Kingdom",European Union (EU),2017-09-01,day,,,2017-09-22,2500000,EUR,2987500,Seed,2500000,EUR,2987500,Seed,Diffusion Capital Partners,1
Persona,https://www.crunchbase.com/organization/persona-6c13,"Identity Management, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-26,day,,,2018-05-01,130000,USD,130000,Convertible Note,,,,,,
Ataata,https://www.crunchbase.com/organization/ataata,"Cyber Security, Information Technology, Security, Training","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2016-01-01,year,2018-07-10,day,2017-12-19,3000000,USD,3000000,Series A,3000000,USD,3000000,M&A,"NEXT Frontier Capital, SaaS Ventures, TEDCO",3
RunSafe Security,https://www.crunchbase.com/organization/runsafe-security-inc,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2015-11-01,day,,,2018-05-16,2400000,USD,2400000,Seed,2400000,USD,2400000,Seed,"Alsop Louie Partners, Center for Innovative Technology, Michael W. Wellman",3
Visual Threat,https://www.crunchbase.com/organization/visual-threat,"Cyber Security, Network Security, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-09-01,month,,,2018-06-29,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Baidu, InnoSpring Seed Fund, TSVC",3
Vicarius,https://www.crunchbase.com/organization/vicarius,"B2B, Cloud Security, Cyber Security, Enterprise, Enterprise Software, Software","Jerusalem, Yerushalayim, Israel",,2016-05-23,day,,,2017-11-01,,,,Grant,105000,USD,105000,Seed,"MassChallenge, The Jerusalem Development Authority",2
Loqr,https://www.crunchbase.com/organization/loqr,"Enterprise Software, Identity Management, Mobile, Security","Braga, Braga, Portugal",European Union (EU),2015-08-25,day,,,2018-03-29,1140000,EUR,1402476,Seed,1140000,EUR,1402476,Seed,"Big Start Ventures, EDP, Momentum London, REDangels, Startup Braga",6
Namogoo,https://www.crunchbase.com/organization/namogoo,"Big Data, E-Commerce, Network Security, Security","Ra'anana, HaMerkaz, Israel",,2014-01-01,year,,,2018-05-01,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Blumberg Capital, GreatPoint Ventures, Hanaco Venture Capital, Synapse Partners, Tectonic Capital",7
